weight_id,context_type,context_code,tea_intensity_w,milk_intensity_w,fruit_intensity_w,sweetness_intensity_w,refresh_intensity_w,comfort_intensity_w,energy_intensity_w,indulgence_intensity_w,heaviness_intensity_w,caffeine_level_w,price_low_w,price_mid_w,price_high_w,hot_available_w,cold_available_w,notes
W000,global,default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"followup threshold 0.8 and confidence threshold 0.60 are managed in engine config"
W001,goal,focus,0.9,-0.3,0.4,-0.5,1.1,0.2,1.6,0.1,-1.2,0.8,0.2,0.3,-0.2,0.0,0.1,"base weight for users who want to feel awake and efficient"
W002,goal,relax,0.2,0.7,0.1,0.2,0.2,1.6,-1.0,0.6,-0.3,-1.1,0.0,0.2,0.0,0.4,-0.1,"base weight for users who want comfort and less stimulation"
W003,goal,refresh,0.8,-0.8,1.0,-0.6,1.7,0.0,0.5,0.2,-1.4,0.2,0.1,0.2,-0.2,-0.3,0.5,"base weight for light and non-cloying drinks"
W004,goal,reward,0.1,0.8,0.4,0.4,0.2,0.7,0.1,1.8,-0.1,0.0,-0.2,0.2,0.4,0.1,0.2,"base weight for treat and indulgence moments"
W101,mood,tired,0.1,0.2,0.1,-0.1,0.2,0.6,0.7,0.1,-0.5,0.2,0.1,0.1,-0.1,0.2,0.0,"supportive balance between energy and comfort"
W102,mood,stressed,0.2,-0.2,0.2,-0.4,0.7,0.3,-0.4,-0.1,-0.6,-0.6,0.0,0.1,-0.2,0.1,0.2,"calm down and reduce overstimulation"
W103,mood,empty,0.0,0.2,0.0,0.2,-0.1,0.7,-0.1,0.8,0.1,-0.1,0.0,0.1,0.1,0.2,0.0,"lean toward care and indulgence"
W104,mood,need_care,0.1,0.4,-0.1,0.1,-0.1,0.9,-0.3,0.3,0.0,-0.6,0.0,0.1,0.0,0.4,-0.1,"warm and reassuring bias"
W105,mood,foggy,0.3,-0.2,0.2,-0.2,0.4,-0.1,0.9,0.0,-0.6,0.7,0.1,0.1,-0.1,0.0,0.2,"brighten up and reduce sleepy heaviness"
W201,scene,study,0.4,-0.2,0.1,-0.3,0.4,0.1,0.6,-0.1,-0.6,0.4,0.2,0.1,-0.2,0.0,0.1,"favor efficient low-burden choices for work or study"
W202,scene,commute,0.2,-0.3,0.3,-0.2,0.5,0.0,0.4,0.0,-0.7,0.2,0.4,0.0,-0.4,-0.1,0.2,"favor fast and light drinks on the move"
W203,scene,after_work,0.0,0.3,0.0,0.1,0.1,0.7,-0.3,0.3,-0.2,-0.3,0.0,0.1,0.1,0.3,0.0,"favor comfort after work"
W204,scene,late_night,0.1,0.2,0.0,0.0,0.0,0.4,0.1,0.1,-0.4,-1.0,0.0,0.1,-0.1,0.4,-0.3,"protect against too much caffeine late at night"
W205,scene,after_meal,0.3,-0.4,0.4,-0.4,0.8,0.0,0.1,0.0,-0.8,0.1,0.1,0.1,-0.2,0.0,0.3,"favor clean and digestible drinks after meals"
W206,scene,social,0.0,0.2,0.3,0.2,0.2,0.1,0.0,0.6,0.0,0.0,-0.1,0.2,0.3,0.0,0.2,"favor fun and expressive drinks in social moments"
W207,scene,rainy_day,0.1,0.3,-0.1,0.1,-0.2,0.8,-0.1,0.3,0.0,-0.1,0.0,0.1,0.0,0.5,-0.3,"favor warm comfort under gloomy weather"
W208,scene,hot_weather,0.2,-0.5,0.4,-0.3,0.9,-0.1,0.2,0.1,-0.9,0.0,0.1,0.1,-0.1,-0.6,0.7,"favor cooling and light drinks in hot weather"
W301,adjust,cheaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-1.2,0.0,0.0,"micro-adjust to push low-price candidates"
W302,adjust,less_sweet,0.1,0.0,0.1,-1.0,0.2,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"micro-adjust to suppress sugary options"
W303,adjust,less_heavy,0.0,-0.5,0.0,-0.2,0.3,0.1,0.1,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,"micro-adjust to lighten texture and burden"
W304,adjust,want_hot,0.0,0.1,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-1.0,"micro-adjust to favor hot-capable drinks"
W305,adjust,no_caffeine,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,0.0,0.0,-2.0,0.0,0.0,0.0,0.1,0.0,"micro-adjust to suppress caffeinated candidates"

