sku_id,brand_code,sku_name,category,base_price,price_band,available_hot,available_cold,caffeine_level,tea_intensity,milk_intensity,fruit_intensity,sweetness_intensity,refresh_intensity,comfort_intensity,energy_intensity,indulgence_intensity,heaviness_intensity,dairy_flag,default_scene_tags,default_mood_tags,status,notes
SKU001,ARCH,Jasmine Green Tea,tea,12,low,1,1,2,4,0,0,1,4,1,2,1,0,0,"study|after_meal|commute","refresh|foggy",active,"classic light tea archetype"
SKU002,ARCH,Low Sugar Osmanthus Oolong,tea,14,mid,1,1,1,4,0,1,1,3,2,2,1,0,0,"study|work_break|after_meal","stressed|refresh",active,"tea-forward low burden option"
SKU003,ARCH,Lemon Black Tea,fruit_tea,15,mid,0,1,2,3,0,4,2,5,1,3,2,0,0,"after_meal|hot_weather|commute","stressed|foggy",active,"high refresh citrus tea"
SKU004,ARCH,Peach Oolong Sparkling Tea,tea_sparkling,19,mid,0,1,1,3,0,4,2,5,1,2,3,0,0,"social|hot_weather|weekend","refresh|stressed",active,"sparkling peach tea for fun and freshness"
SKU005,ARCH,Grapefruit Jasmine Tea,fruit_tea,17,mid,0,1,2,3,0,4,2,5,1,2,2,0,0,"after_meal|hot_weather|commute","stressed|refresh",active,"grapefruit makes the finish cleaner"
SKU006,ARCH,Passionfruit Green Tea,fruit_tea,16,mid,0,1,2,2,0,5,3,5,1,2,3,0,0,"hot_weather|weekend|social","refresh|stressed",active,"bright fruit-led summer choice"
SKU007,ARCH,Mango Pomelo Green Tea,fruit_tea,20,high,0,1,1,2,0,5,3,4,1,1,4,1,0,"social|weekend|hot_weather","reward|refresh",active,"fruity and treat-like without being too heavy"
SKU008,ARCH,Lychee Rose Black Tea,fruit_tea,18,mid,0,1,2,3,0,4,3,4,2,2,3,0,0,"social|weekend|commute","empty|refresh",active,"fragrant and photogenic fruit tea"
SKU009,ARCH,Winter Melon Tea,tea,11,low,0,1,0,1,0,0,3,3,2,0,2,1,0,"commute|after_meal|hot_weather","stressed|refresh",active,"budget refreshing sweet tea"
SKU010,ARCH,Plum Green Tea,fruit_tea,13,low,0,1,1,3,0,3,2,4,1,1,2,0,0,"after_meal|commute|hot_weather","stressed|refresh",active,"sour and clean tea archetype"
SKU011,ARCH,Brown Sugar Boba Milk Tea,milk_tea,19,mid,1,1,1,1,5,0,5,1,4,1,5,5,1,"weekend|social|reward","empty|need_care",active,"high indulgence and high heaviness"
SKU012,ARCH,Roasted Oolong Milk Tea,milk_tea,17,mid,1,1,2,2,4,0,3,1,5,1,4,4,1,"after_work|alone|rainy_day","tired|need_care",active,"roasted and soothing milk tea"
SKU013,ARCH,Jasmine Milk Tea,milk_tea,15,mid,1,1,2,2,4,0,3,2,4,2,3,3,1,"commute|after_work|weekend","tired|empty",active,"balanced mainstream milk tea"
SKU014,ARCH,Matcha Milk Tea,milk_tea,18,mid,1,1,3,3,4,0,3,2,4,3,3,3,1,"study|weekend|after_work","tired|foggy",active,"tea plus milk with moderate lift"
SKU015,ARCH,Taro Milk Tea,milk_tea,17,mid,1,1,1,0,4,0,4,1,5,0,4,4,1,"alone|weekend|reward","empty|need_care",active,"dessert-like comfort drink"
SKU016,ARCH,Hojicha Latte,latte,20,high,1,1,2,3,3,0,2,1,5,2,3,3,1,"rainy_day|after_work|alone","need_care|tired",active,"warm roasted comfort with lower sharpness"
SKU017,ARCH,Coconut Milk Tea,milk_tea,16,mid,1,1,1,1,3,1,3,2,4,1,4,3,1,"weekend|social|after_work","empty|reward",active,"soft coconut sweetness with tea base"
SKU018,ARCH,Cheese Foam Jasmine Tea,tea_cheese,18,mid,0,1,2,3,2,0,2,3,2,2,4,2,1,"social|weekend|after_meal","reward|refresh",active,"tea plus creamy topping contrast"
SKU019,ARCH,Cheese Grape Oolong,tea_cheese,22,high,0,1,1,2,1,4,3,4,2,1,4,2,1,"social|weekend|hot_weather","reward|empty",active,"playful and indulgent fruit tea"
SKU020,ARCH,Strawberry Fresh Milk,milk_drink,20,high,1,1,0,0,4,4,4,2,4,0,4,3,1,"weekend|social|reward","empty|need_care",active,"sweet creamy fruit milk style"
SKU021,ARCH,Hot Oat Matcha Latte,latte,20,high,1,0,3,3,3,0,2,2,4,3,3,3,0,"rainy_day|alone|after_work","tired|need_care",active,"plant-based warm comfort with gentle energy"
SKU022,ARCH,Black Sesame Oat Latte,latte,21,high,1,0,1,0,3,0,2,0,5,1,4,4,0,"rainy_day|alone|late_night","need_care|empty",active,"dense warm comfort drink"
SKU023,ARCH,Red Bean Milk Tea,milk_tea,18,mid,1,1,1,1,4,0,4,1,5,1,4,4,1,"alone|rainy_day|weekend","need_care|empty",active,"filling and sweet comfort archetype"
SKU024,ARCH,Coconut Coffee Latte,coffee_latte,20,high,1,1,4,0,3,1,2,2,3,4,4,3,1,"study|commute|weekend","foggy|reward",active,"coffee with tropical softness"
SKU025,ARCH,Citrus Americano,coffee,18,mid,0,1,5,0,0,3,1,4,0,5,2,0,0,"study|overtime|commute","foggy|tired",active,"wake-up first choice archetype"
SKU026,ARCH,Vanilla Latte,coffee_latte,19,mid,1,1,4,0,4,0,3,1,4,4,4,3,1,"study|after_work|weekend","tired|reward",active,"coffee comfort with sweet vanilla"
SKU027,ARCH,Flat White,coffee_latte,17,mid,1,1,5,0,3,0,1,1,3,5,2,2,1,"study|commute|overtime","foggy|tired",active,"efficient coffee choice with milk support"
SKU028,ARCH,Dirty Matcha,latte,22,high,0,1,4,3,4,0,2,1,4,4,4,3,1,"study|social|weekend","foggy|reward",active,"hybrid drink with visual appeal and lift"
SKU029,ARCH,Yuzu Sparkling Americano,coffee_sparkling,20,high,0,1,5,0,0,4,2,5,0,5,3,0,0,"hot_weather|study|social","foggy|refresh",active,"very refreshing high-caffeine option"
SKU030,ARCH,Sea Salt Lemon Cold Brew Tea,tea,16,mid,0,1,2,3,0,3,2,5,1,2,2,0,0,"hot_weather|after_meal|commute","refresh|stressed",active,"cold brew tea with salty citrus edge"
SKU031,ARCH,Pomelo Green Tea,fruit_tea,15,mid,0,1,1,2,0,4,2,5,1,1,3,0,0,"after_meal|hot_weather|commute","refresh|stressed",active,"light pomelo refresh profile"
SKU032,ARCH,Aloe Vera Jasmine Tea,fruit_tea,14,mid,0,1,1,2,0,1,2,4,2,1,2,0,0,"hot_weather|after_meal|commute","stressed|refresh",active,"hydrating and light texture"
SKU033,ARCH,Cold Brew Oolong,tea,13,low,0,1,2,4,0,0,0,3,1,3,1,0,0,"study|commute|after_meal","foggy|refresh",active,"plain tea for low-burden alertness"
SKU034,ARCH,Longan Red Date Tea,herbal_tea,16,mid,1,0,0,1,0,2,3,1,5,0,3,1,0,"rainy_day|late_night|alone","need_care|empty",active,"warming and restorative comfort"
SKU035,ARCH,Ginger Brown Sugar Milk Tea,milk_tea,18,mid,1,1,1,1,4,0,4,0,5,1,4,4,1,"rainy_day|late_night|alone","need_care|tired",active,"warming and dense comfort profile"
SKU036,ARCH,Honey Citron Tea,tea,16,mid,1,1,0,1,0,4,3,3,4,0,3,1,0,"rainy_day|after_meal|alone","need_care|stressed",active,"warm citrus comfort without caffeine"
SKU037,ARCH,Chamomile Apple Tea,herbal_tea,15,mid,1,1,0,2,0,3,2,3,4,0,2,0,0,"late_night|alone|rainy_day","need_care|stressed",active,"gentle calming herbal fruit tea"
SKU038,ARCH,Rose Oolong Tea,tea,14,mid,1,1,1,4,0,1,3,3,3,2,2,0,0,"work_break|after_meal|alone","empty|need_care",active,"floral tea with soft comfort"
SKU039,ARCH,Grape Jasmine Yogurt,yogurt,22,high,0,1,1,2,2,4,3,4,2,1,4,2,1,"social|weekend|hot_weather","reward|refresh",active,"yogurt fruit tea hybrid with playful body"
SKU040,ARCH,Mango Pomelo Yogurt,yogurt,23,high,0,1,0,1,2,5,3,4,2,0,4,2,1,"social|weekend|hot_weather","reward|empty",active,"fruity yogurt treat with lower caffeine"
SKU041,ARCH,Blueberry Yogurt Smoothie,smoothie,22,high,0,1,0,0,3,4,3,3,3,0,4,3,1,"weekend|social|reward","empty|reward",active,"dessert-like fruit smoothie"
SKU042,ARCH,Avocado Yogurt Shake,smoothie,24,high,0,1,0,0,3,2,2,1,4,0,4,4,1,"alone|weekend|reward","need_care|empty",active,"creamy and filling shake profile"
SKU043,ARCH,Fresh Milk Black Tea,milk_tea,16,mid,1,1,2,2,4,0,3,2,4,2,3,3,1,"commute|study|after_work","tired|foggy",active,"familiar black tea milk base"
SKU044,ARCH,Pudding Milk Tea,milk_tea,18,mid,1,1,1,1,4,0,4,1,4,1,5,4,1,"weekend|social|reward","empty|need_care",active,"dessert-style milk tea with texture"
SKU045,ARCH,Cocoa Oat Latte,latte,20,high,1,0,2,0,3,0,3,0,4,2,5,3,0,"rainy_day|alone|after_work","need_care|empty",active,"warm cocoa comfort with mild lift"
SKU046,ARCH,Mint Lime Tea,fruit_tea,14,mid,0,1,1,2,0,3,2,5,1,1,2,0,0,"hot_weather|after_meal|commute","stressed|refresh",active,"very clean and cooling profile"
SKU047,ARCH,Pineapple Jasmine Tea,fruit_tea,16,mid,0,1,1,2,0,4,3,5,1,1,3,0,0,"hot_weather|social|weekend","refresh|stressed",active,"bright tropical fruit tea archetype"
SKU048,ARCH,Rose Milk Tea,milk_tea,17,mid,1,1,1,1,4,1,3,1,5,1,3,3,1,"alone|after_work|rainy_day","need_care|empty",active,"soft floral comfort milk tea"
SKU049,ARCH,Brown Rice Tea Latte,latte,19,mid,1,1,2,3,3,0,2,1,4,2,3,3,1,"study|after_work|rainy_day","tired|need_care",active,"toasty balanced tea latte"
SKU050,ARCH,Salted Caramel Latte,coffee_latte,21,high,1,1,4,0,4,0,4,0,4,4,5,4,1,"study|weekend|reward","tired|reward",active,"strong indulgent coffee dessert profile"

